date,arrivals,year,month,country,month_sin,month_cos,time_index,is_covid,is_spring_trek,is_autumn_trek,is_monsoon,lag_1,lag_2,lag_3,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6
1996-01-01,27886.0,1996,1,Total,0.0,1.0,12,0,0,0,0,26380.0,35782.0,46845.0,22207.0,36335.666666666664,10243.72814620406,31873.666666666668,8380.273806187162
1996-02-01,29676.0,1996,2,Total,0.49999999999999994,0.8660254037844387,13,0,0,0,0,27886.0,26380.0,35782.0,28240.0,30016.0,5049.958019627478,32524.666666666668,7774.2350277481755
1996-03-01,39336.0,1996,3,Total,0.8660254037844386,0.5000000000000001,14,0,1,0,0,29676.0,27886.0,26380.0,34219.0,27980.666666666668,1650.0379793608372,32856.333333333336,7566.185846690965
1996-04-01,36331.0,1996,4,Total,1.0,6.123233995736766e-17,15,0,1,0,0,39336.0,29676.0,27886.0,33994.0,32299.333333333332,6159.3046144295595,34317.5,7876.293284280367
1996-05-01,29728.0,1996,5,Total,0.8660254037844387,-0.4999999999999998,16,0,1,0,0,36331.0,39336.0,29676.0,27843.0,35114.333333333336,4943.592654470361,32565.166666666668,5270.139900103854
1996-06-01,26749.0,1996,6,Total,0.49999999999999994,-0.8660254037844387,17,0,0,0,1,29728.0,36331.0,39336.0,25650.0,35131.666666666664,4914.99911834512,31556.166666666668,5108.128519004457
1996-07-01,22684.0,1996,7,Total,1.2246467991473532e-16,-1.0,18,0,0,0,1,26749.0,29728.0,36331.0,23980.0,30936.0,4903.889170852046,31617.666666666668,5035.044018344494
1996-08-01,29080.0,1996,8,Total,-0.4999999999999997,-0.8660254037844388,19,0,0,0,1,22684.0,26749.0,29728.0,27686.0,26387.0,3535.925197172583,30750.666666666668,6134.056917462265
1996-09-01,32181.0,1996,9,Total,-0.8660254037844384,-0.5000000000000004,20,0,0,1,0,29080.0,22684.0,26749.0,30569.0,26171.0,3236.937904872438,30651.333333333332,6159.712449998512
1996-10-01,47314.0,1996,10,Total,-1.0,-1.8369701987210297e-16,21,0,0,1,0,32181.0,29080.0,22684.0,46845.0,27981.666666666668,4842.830198688913,29458.833333333332,4649.610625274624
1996-11-01,37650.0,1996,11,Total,-0.8660254037844386,0.5000000000000001,22,0,0,1,0,47314.0,32181.0,29080.0,35782.0,36191.666666666664,9756.217214337395,31289.333333333332,8480.21597995397
1996-12-01,34998.0,1996,12,Total,-0.5000000000000004,0.8660254037844384,23,0,0,0,0,37650.0,47314.0,32181.0,26380.0,39048.333333333336,7662.794812164379,32609.666666666668,8799.215343805758
1997-01-01,25585.0,1997,1,Total,0.0,1.0,24,0,0,0,0,34998.0,37650.0,47314.0,27886.0,39987.333333333336,6482.153140225347,33984.5,8332.426723350167
1997-02-01,32861.0,1997,2,Total,0.49999999999999994,0.8660254037844387,25,0,0,0,0,25585.0,34998.0,37650.0,29676.0,32744.333333333332,6340.371939668314,34468.0,7597.293491764024
1997-03-01,43177.0,1997,3,Total,0.8660254037844386,0.5000000000000001,26,0,1,0,0,32861.0,25585.0,34998.0,39336.0,31148.0,4934.766357184501,35098.166666666664,7207.823344579601
1997-04-01,35229.0,1997,4,Total,1.0,6.123233995736766e-17,27,0,1,0,0,43177.0,32861.0,25585.0,36331.0,33874.333333333336,8839.66907374554,36930.833333333336,7698.95149787727
1997-05-01,33456.0,1997,5,Total,0.8660254037844387,-0.4999999999999998,28,0,1,0,0,35229.0,43177.0,32861.0,29728.0,37089.0,5403.67134455825,34916.666666666664,5781.248192792509
1997-06-01,26367.0,1997,6,Total,0.49999999999999994,-0.8660254037844387,29,0,0,0,1,33456.0,35229.0,43177.0,26749.0,37287.333333333336,5177.065996617514,34217.666666666664,5636.399264305773
1997-07-01,26091.0,1997,7,Total,1.2246467991473532e-16,-1.0,30,0,0,0,1,26367.0,33456.0,35229.0,22684.0,31684.0,4689.216245813364,32779.166666666664,6441.324969807582
1997-08-01,35549.0,1997,8,Total,-0.4999999999999997,-0.8660254037844388,31,0,0,0,1,26091.0,26367.0,33456.0,29080.0,28638.0,4174.791851098685,32863.5,6330.658788783359
1997-09-01,31981.0,1997,9,Total,-0.8660254037844384,-0.5000000000000004,32,0,0,1,0,35549.0,26091.0,26367.0,32181.0,29335.666666666668,5382.673808929286,33311.5,6424.856161814052
1997-10-01,56272.0,1997,10,Total,-1.0,-1.8369701987210297e-16,33,0,0,1,0,31981.0,35549.0,26091.0,47314.0,31207.0,4776.269255391699,31445.5,4241.327327618088
1997-11-01,40173.0,1997,11,Total,-0.8660254037844386,0.5000000000000001,34,0,0,1,0,56272.0,31981.0,35549.0,37650.0,41267.333333333336,13116.3132142128,34952.666666666664,11119.201494112187
1997-12-01,35116.0,1997,12,Total,-0.5000000000000004,0.8660254037844384,35,0,0,0,0,40173.0,56272.0,31981.0,34998.0,42808.666666666664,12358.123819307413,36072.166666666664,11275.419254585024
1998-01-01,28822.0,1998,1,Total,0.0,1.0,36,0,0,0,0,35116.0,40173.0,56272.0,25585.0,43853.666666666664,11047.830752384527,37530.333333333336,10292.151294392572
1998-02-01,37956.0,1998,2,Total,0.49999999999999994,0.8660254037844387,37,0,0,0,0,28822.0,35116.0,40173.0,32861.0,34703.666666666664,5686.722635519796,37985.5,9730.113601597877
1998-03-01,41338.0,1998,3,Total,0.8660254037844386,0.5000000000000001,38,0,1,0,0,37956.0,28822.0,35116.0,43177.0,33964.666666666664,4674.576487055614,38386.666666666664,9658.926268828574
1998-04-01,41087.0,1998,4,Total,1.0,6.123233995736766e-17,39,0,1,0,0,41338.0,37956.0,28822.0,35229.0,36038.666666666664,6474.541631137545,39946.166666666664,9160.347644421945
1998-05-01,35814.0,1998,5,Total,0.8660254037844387,-0.4999999999999998,40,0,1,0,0,41087.0,41338.0,37956.0,33456.0,40127.0,1884.325078111496,37415.333333333336,4814.515704270441
1998-06-01,29181.0,1998,6,Total,0.49999999999999994,-0.8660254037844387,41,0,0,0,1,35814.0,41087.0,41338.0,26367.0,39413.0,3119.3510543059906,36688.833333333336,4640.916651553518
1998-07-01,27895.0,1998,7,Total,1.2246467991473532e-16,-1.0,42,0,0,0,1,29181.0,35814.0,41087.0,26091.0,35360.666666666664,5965.9318076335085,35699.666666666664,5580.566088370133
1998-08-01,36174.0,1998,8,Total,-0.4999999999999997,-0.8660254037844388,43,0,0,0,1,27895.0,29181.0,35814.0,35549.0,30963.333333333332,4249.726383349072,35545.166666666664,5816.8873262825655
1998-09-01,39664.0,1998,9,Total,-0.8660254037844384,-0.5000000000000004,44,0,0,1,0,36174.0,27895.0,29181.0,31981.0,31083.333333333332,4455.290600323753,35248.166666666664,5713.754472032092
1998-10-01,62487.0,1998,10,Total,-1.0,-1.8369701987210297e-16,45,0,0,1,0,39664.0,36174.0,27895.0,56272.0,34577.666666666664,6044.712593112529,34969.166666666664,5388.5326172035675
1998-11-01,47403.0,1998,11,Total,-0.8660254037844386,0.5000000000000001,46,0,0,1,0,62487.0,39664.0,36174.0,40173.0,46108.333333333336,14291.275881926469,38535.833333333336,12559.124323242711
1998-12-01,35863.0,1998,12,Total,-0.5000000000000004,0.8660254037844384,47,0,0,0,0,47403.0,62487.0,39664.0,35116.0,49851.333333333336,11606.811979752802,40467.333333333336,12942.11832223252
1999-01-01,29752.0,1999,1,Total,0.0,1.0,48,0,0,0,0,35863.0,47403.0,62487.0,28822.0,48584.333333333336,13351.254822425237,41581.0,12032.199948471602
1999-02-01,38134.0,1999,2,Total,0.49999999999999994,0.8660254037844387,49,0,0,0,0,29752.0,35863.0,47403.0,37956.0,37672.666666666664,8963.571851295284,41890.5,11626.805937143701
1999-03-01,46218.0,1999,3,Total,0.8660254037844386,0.5000000000000001,50,0,1,0,0,38134.0,29752.0,35863.0,41338.0,34583.0,4335.121797596903,42217.166666666664,11460.416526752711
1999-04-01,40774.0,1999,4,Total,1.0,6.123233995736766e-17,51,0,1,0,0,46218.0,38134.0,29752.0,41087.0,38034.666666666664,8233.449418884722,43309.5,11480.719398191039
1999-05-01,42712.0,1999,5,Total,0.8660254037844387,-0.4999999999999998,52,0,1,0,0,40774.0,46218.0,38134.0,35814.0,41708.666666666664,4122.252458709095,39690.666666666664,6619.835577011463
1999-06-01,31049.0,1999,6,Total,0.49999999999999994,-0.8660254037844387,53,0,0,0,1,42712.0,40774.0,46218.0,29181.0,43234.666666666664,2759.3784324251687,38908.833333333336,5746.162281616025
1999-07-01,27193.0,1999,7,Total,1.2246467991473532e-16,-1.0,54,0,0,0,1,31049.0,42712.0,40774.0,27895.0,38178.333333333336,6249.760502077915,38106.5,6538.032601631779
1999-08-01,38449.0,1999,8,Total,-0.4999999999999997,-0.8660254037844388,55,0,0,0,1,27193.0,31049.0,42712.0,36174.0,33651.333333333336,8080.157444835664,37680.0,7238.021138405165
1999-09-01,44117.0,1999,9,Total,-0.8660254037844384,-0.5000000000000004,56,0,0,1,0,38449.0,27193.0,31049.0,39664.0,32230.333333333332,5720.231230757478,37732.5,7243.113384450087
1999-10-01,66543.0,1999,10,Total,-1.0,-1.8369701987210297e-16,57,0,0,1,0,44117.0,38449.0,27193.0,62487.0,36586.333333333336,8614.382701815215,37382.333333333336,6787.280564899807
