date,foreign_arrivals,year,month
9/1/2008,41622,2008,9
10/1/2008,66421,2008,10
11/1/2008,52399,2008,11
12/1/2008,38840,2008,12
1/1/2009,35279,2009,1
2/1/2009,47970,2009,2
3/1/2009,60896,2009,3
4/1/2009,41992,2009,4
5/1/2009,31476,2009,5
6/1/2009,28806,2009,6
7/1/2009,32209,2009,7
8/1/2009,47342,2009,8
9/1/2009,48235,2009,9
10/1/2009,72776,2009,10
11/1/2009,59968,2009,11
12/1/2009,44624,2009,12
1/1/2010,33645,2010,1
2/1/2010,49264,2010,2
3/1/2010,63058,2010,3
4/1/2010,45509,2010,4
5/1/2010,32542,2010,5
6/1/2010,33263,2010,6
7/1/2010,38991,2010,7
8/1/2010,54672,2010,8
9/1/2010,54848,2010,9
10/1/2010,79130,2010,10
11/1/2010,67537,2010,11
12/1/2010,50408,2010,12
1/1/2011,42622,2011,1
2/1/2011,56339,2011,2
3/1/2011,67565,2011,3
4/1/2011,59751,2011,4
5/1/2011,46202,2011,5
6/1/2011,46115,2011,6
7/1/2011,42661,2011,7
8/1/2011,71398,2011,8
9/1/2011,63033,2011,9
10/1/2011,96996,2011,10
11/1/2011,83460,2011,11
12/1/2011,60073,2011,12
1/1/2012,52501,2012,1
2/1/2012,66459,2012,2
3/1/2012,89151,2012,3
4/1/2012,69796,2012,4
5/1/2012,50317,2012,5
6/1/2012,53630,2012,6
7/1/2012,49995,2012,7
8/1/2012,71964,2012,8
9/1/2012,66383,2012,9
10/1/2012,86379,2012,10
11/1/2012,83173,2012,11
12/1/2012,63344,2012,12
1/1/2013,47846,2013,1
2/1/2013,67264,2013,2
3/1/2013,88697,2013,3
4/1/2013,65152,2013,4
5/1/2013,52834,2013,5
6/1/2013,54599,2013,6
7/1/2013,54011,2013,7
8/1/2013,68478,2013,8
9/1/2013,66755,2013,9
10/1/2013,99426,2013,10
11/1/2013,75485,2013,11
12/1/2013,57069,2013,12
1/1/2014,70196,2014,1
2/1/2014,69009,2014,2
3/1/2014,79914,2014,3
4/1/2014,80053,2014,4
5/1/2014,62558,2014,5
6/1/2014,50731,2014,6
7/1/2014,46546,2014,7
8/1/2014,59761,2014,8
9/1/2014,52894,2014,9
10/1/2014,80993,2014,10
11/1/2014,76305,2014,11
12/1/2014,61158,2014,12
1/1/2015,38616,2015,1
2/1/2015,58523,2015,2
3/1/2015,79187,2015,3
4/1/2015,65729,2015,4
5/1/2015,54620,2015,5
6/1/2015,44792,2015,6
7/1/2015,47330,2015,7
8/1/2015,63051,2015,8
9/1/2015,63782,2015,9
10/1/2015,56584,2015,10
11/1/2015,58304,2015,11
12/1/2015,45467,2015,12
1/1/2016,42235,2016,1
2/1/2016,60821,2016,2
3/1/2016,76444,2016,3
4/1/2016,60214,2016,4
5/1/2016,46683,2016,5
6/1/2016,38852,2016,6
7/1/2016,48115,2016,7
8/1/2016,66341,2016,8
9/1/2016,74670,2016,9
10/1/2016,89281,2016,10
11/1/2016,72990,2016,11
12/1/2016,76356,2016,12
1/1/2017,62632,2017,1
2/1/2017,84061,2017,2
3/1/2017,106291,2017,3
4/1/2017,88591,2017,4
5/1/2017,62773,2017,5
6/1/2017,55956,2017,6
7/1/2017,42240,2017,7
8/1/2017,73778,2017,8
9/1/2017,68634,2017,9
10/1/2017,112492,2017,10
11/1/2017,99804,2017,11
12/1/2017,82966,2017,12
1/1/2018,73187,2018,1
2/1/2018,89507,2018,2
3/1/2018,124686,2018,3
4/1/2018,98650,2018,4
5/1/2018,68825,2018,5
6/1/2018,65159,2018,6
7/1/2018,73281,2018,7
8/1/2018,87679,2018,8
9/1/2018,91874,2018,9
10/1/2018,130745,2018,10
11/1/2018,147859,2018,11
12/1/2018,121620,2018,12
1/1/2019,81273,2019,1
2/1/2019,102423,2019,2
3/1/2019,127351,2019,3
4/1/2019,109399,2019,4
5/1/2019,78329,2019,5
6/1/2019,74883,2019,6
7/1/2019,70916,2019,7
8/1/2019,94749,2019,8
9/1/2019,92604,2019,9
10/1/2019,134096,2019,10
11/1/2019,130302,2019,11
12/1/2019,100866,2019,12
1/1/2020,79702,2020,1
2/1/2020,98190,2020,2
3/1/2020,98951,2020,3
4/1/2020,93462,2020,4
5/1/2020,70250,2020,5
6/1/2020,65574,2020,6
7/1/2020,62098,2020,7
8/1/2020,76934,2020,8
9/1/2020,81174,2020,9
10/1/2020,118925,2020,10
11/1/2020,111086,2020,11
12/1/2020,89888,2020,12
1/1/2021,48338,2021,1
2/1/2021,59023,2021,2
3/1/2021,70552,2021,3
4/1/2021,77526,2021,4
5/1/2021,62172,2021,5
6/1/2021,56266,2021,6
7/1/2021,53280,2021,7
8/1/2021,59119,2021,8
9/1/2021,69744,2021,9
10/1/2021,103753,2021,10
11/1/2021,91869,2021,11
12/1/2021,78910,2021,12
1/1/2022,16975,2022,1
2/1/2022,19856,2022,2
3/1/2022,42152,2022,3
4/1/2022,61589,2022,4
5/1/2022,54093,2022,5
6/1/2022,46957,2022,6
7/1/2022,44462,2022,7
8/1/2022,41304,2022,8
9/1/2022,58314,2022,9
10/1/2022,88582,2022,10
11/1/2022,72653,2022,11
12/1/2022,67932,2022,12
1/1/2023,55074,2023,1
2/1/2023,73255,2023,2
3/1/2023,99426,2023,3
4/1/2023,98773,2023,4
5/1/2023,77703,2023,5
6/1/2023,72250,2023,6
7/1/2023,57726,2023,7
8/1/2023,67153,2023,8
9/1/2023,91012,2023,9
10/1/2023,117306,2023,10
11/1/2023,108630,2023,11
12/1/2023,96574,2023,12
1/1/2024,79101,2024,1
2/1/2024,97426,2024,2
3/1/2024,110556,2024,3
4/1/2024,111376,2024,4
5/1/2024,90211,2024,5
6/1/2024,74338,2024,6
7/1/2024,64599,2024,7
8/1/2024,77916,2024,8
9/1/2024,84862,2024,9
10/1/2024,122874,2024,10
11/1/2024,112592,2024,11
12/1/2024,79991,2024,12
1/1/2025,81273,2025,1
2/1/2025,96880,2025,2
3/1/2025,121687,2025,3
4/1/2025,106599,2025,4
5/1/2025,91512,2025,5
6/1/2025,76425,2025,6
7/1/2025,82552,2025,7
8/1/2025,88680,2025,8
9/1/2025,78711,2025,9
10/1/2025,128443,2025,10
11/1/2025,116553,2025,11
12/1/2025,98190,2025,12
1/1/2026,92573,2026,1
2/1/2026,105441,2026,2
3/1/2026,120516,2026,3
